ncontrato,ncat,regist,cuotamensual,opcionmoneda,,
00178,12405817,D5K-747,11.67,2,,
00156,11413351,D5K-747,11.67,2,,
00156,11413982,D5K-747,11.67,2,,
00156,11415170,D5K-747,11.67,2,,
00156,11410266,D5K-747,11.67,2,,
00156,11411263,D5K-747,11.67,2,,
00156,11412369,D5K-747,11.67,2,,
00101,20911734,D5K-747,11.67,2,,
00101,20913437,D5K-747,11.67,2,,
00101,20915479,D5K-747,11.67,2,,
00101,20592281,D5K-747,11.67,2,,
00101,20693354,D5K-747,11.67,2,,
00101,20099380,D5K-747,11.67,2,,
00101,20913448,UO-5594,11.67,2,,
00101,20915490,UO-5594,11.67,2,,
00101,20791965,UO-5594,11.67,2,,
00101,20592292,UO-5594,11.67,2,,
00101,20099391,UO-5594,11.67,2,,
00101,20911745,UO-5594,11.67,2,,
00156,12400040,UQ-4110,11.67,2,,
00156,11413357,UQ-4110,11.67,2,,
00156,11413988,UQ-4110,11.67,2,,
00156,11415176,UQ-4110,11.67,2,,
00156,11410272,UQ-4110,11.67,2,,
00156,11411269,UQ-4110,11.67,2,,
00156,11412375,UQ-4110,11.67,2,,
00101,20913446,UO-3292,11.67,2,,
00101,20915488,UO-3292,11.67,2,,
00101,20791963,UO-3292,11.67,2,,
00101,20592290,UO-3292,11.67,2,,
00101,20099389,UO-3292,11.67,2,,
00101,20911743,UO-3292,11.67,2,,
00156,12400037,UG-2472,11.67,2,,
00156,11413354,UG-2472,11.67,2,,
00156,11413985,UG-2472,11.67,2,,
00156,11415173,UG-2472,11.67,2,,
00156,11410269,UG-2472,11.67,2,,
00156,11411266,UG-2472,11.67,2,,
00156,11412372,UG-2472,11.67,2,,
00101,20913449,UG-2472,11.67,2,,
00101,20915491,UG-2472,11.67,2,,
00101,20791966,UG-2472,11.67,2,,
00101,20592293,UG-2472,11.67,2,,
00101,20099392,UG-2472,11.67,2,,
00101,20911746,UG-2472,11.67,2,,
00035,90301898,RQ-8992,8.33,2,,
00035,78659,RQ-8992,8.33,2,,
00001,78885,RQ-8992,8.33,2,,
00035,90700597,RQ-8992,8.33,2,,
00035,79993,RO-3111,8.33,2,,
00035,90700586,RO-3111,8.33,2,,
00035,90301887,RO-3111,8.33,2,,
